Symbol,Conviction Level,Priority Score,Momentum Regime,Convergence Regime,RSI21 Spread (D/W),RSI21 Avg,Daily-Weekly Gradient,Signals
MANAPPURAM,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,1.16,62.72,-2.31,MOMENTUM|RSI_STACK
LMW,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.55,58.21,1.1,MOMENTUM|RSI_STACK
LALPATHLAB,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.69,69.66,1.38,MOMENTUM|RSI_STACK
KIRLOSBROS,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.63,57.58,1.25,MOMENTUM|RSI_STACK
GANDHITUBE,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,1.78,57.61,3.57,MOMENTUM|RSI_STACK
TATATECH,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.24,62.45,0.49,MOMENTUM|RSI_STACK
SUNDRMFAST,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,6.43,73.03,12.85,MOMENTUM|RSI_STACK
SUMICHEM,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,0.01,56.78,-0.01,MOMENTUM|RSI_STACK
SCI,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.5,58.01,1.01,MOMENTUM|RSI_STACK
REDINGTON,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,5.63,70.86,11.27,MOMENTUM|RSI_STACK
RBLBANK,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.17,63.43,-2.33,MOMENTUM|RSI_STACK
RAINBOW,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,1.0,66.02,2.01,MOMENTUM|RSI_STACK
FOSECOIND,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.36,58.88,4.72,MOMENTUM|RSI_STACK
HDFCSML250,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.33,62.38,-0.67,MOMENTUM|RSI_STACK
HARSHA,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.09,55.4,0.18,MOMENTUM|RSI_STACK
HARRMALAYA,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.78,56.76,-1.56,MOMENTUM|RSI_STACK
PNBHOUSING,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.03,62.87,-0.06,MOMENTUM|RSI_STACK
PFIZER,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,4.94,57.15,9.87,MOMENTUM|RSI_STACK
NSLNISP,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.81,54.17,1.62,MOMENTUM|RSI_STACK
NIACL,L2_MOMENTUM_RSI,40,BOUNCE,NEUTRAL,0.31,53.78,-0.62,MOMENTUM|RSI_STACK
ZFCVINDIA,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.98,57.55,3.97,MOMENTUM|RSI_STACK
WELCORP,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,6.11,76.97,-12.22,MOMENTUM|RSI_STACK
USHAMART,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.96,59.6,-5.93,MOMENTUM|RSI_STACK
THELEELA,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.43,62.92,0.87,MOMENTUM|RSI_STACK
TBOTEK,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.38,61.6,4.76,MOMENTUM|RSI_STACK
EMIL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,3.07,64.87,6.14,MOMENTUM|RSI_STACK
EMAMIPAP,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,0.08,63.24,-0.16,MOMENTUM|RSI_STACK
ELGIRUBCO,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,0.66,56.59,1.31,MOMENTUM|RSI_STACK
DYCL,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,0.06,57.08,-0.11,MOMENTUM|RSI_STACK
DPABHUSHAN,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,2.67,62.89,5.34,MOMENTUM|RSI_STACK
DIVGIITTS,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.91,62.17,-3.82,MOMENTUM|RSI_STACK
DIFFNKG,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.54,66.14,1.08,MOMENTUM|RSI_STACK
GNA,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,2.27,61.7,-4.53,MOMENTUM|RSI_STACK
GHCLTEXTIL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.06,65.81,-4.12,MOMENTUM|RSI_STACK
GEECEE,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,0.87,57.36,1.74,MOMENTUM|RSI_STACK
GANESHBE,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.47,61.67,-2.95,MOMENTUM|RSI_STACK
FMGOETZE,L2_MOMENTUM_RSI,40,ACCELERATING,NEUTRAL,1.75,56.88,3.5,MOMENTUM|RSI_STACK
EVEREADY,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.02,53.62,-0.04,MOMENTUM|RSI_STACK
ESAFSFB,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.07,68.28,0.14,MOMENTUM|RSI_STACK
TALBROAUTO,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.44,68.44,-4.88,MOMENTUM|RSI_STACK
BERGEPAINT,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.96,57.29,3.92,MOMENTUM|RSI_STACK
BALKRISIND,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,5.14,59.59,10.27,MOMENTUM|RSI_STACK
AUBANK,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.57,60.15,-1.15,MOMENTUM|RSI_STACK
ASTERDM,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.36,63.99,-2.72,MOMENTUM|RSI_STACK
APARINDS,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.22,65.51,-4.44,MOMENTUM|RSI_STACK
AIAENG,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,3.11,60.92,-6.21,MOMENTUM|RSI_STACK
ABCAPITAL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,4.38,64.68,-8.76,MOMENTUM|RSI_STACK
3MINDIA,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.72,57.74,1.43,MOMENTUM|RSI_STACK
NUVOCO,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,1.5,54.89,3.01,MOMENTUM|RSI_STACK
SUPREMEINF,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.54,57.41,5.07,MOMENTUM|RSI_STACK
UNIVCABLES,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,0.76,66.79,-1.52,MOMENTUM|RSI_STACK
UNIMECH,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.9,63.72,-1.79,MOMENTUM|RSI_STACK
BODALCHEM,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,0.01,56.78,-0.02,MOMENTUM|RSI_STACK
BIRLACABLE,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.89,67.08,5.78,MOMENTUM|RSI_STACK
BFINVEST,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,0.57,55.08,-1.15,MOMENTUM|RSI_STACK
DIAMONDYD,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,0.88,55.52,-1.77,MOMENTUM|RSI_STACK
DEEPINDS,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,2.23,68.58,4.46,MOMENTUM|RSI_STACK
DDEVPLSTIK,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,3.74,62.6,7.47,MOMENTUM|RSI_STACK
DCMNVL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.85,58.19,5.71,MOMENTUM|RSI_STACK
DATAMATICS,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.24,54.8,-0.48,MOMENTUM|RSI_STACK
BALRAMCHIN,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,3.68,63.47,-7.36,MOMENTUM|RSI_STACK
ASHAPURMIN,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.38,58.09,0.75,MOMENTUM|RSI_STACK
ALKYLAMINE,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.04,58.53,-0.08,MOMENTUM|RSI_STACK
ACE,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.64,61.92,1.27,MOMENTUM|RSI_STACK
DALMIASUG,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,0.94,59.78,1.87,MOMENTUM|RSI_STACK
COUNCODOS,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,0.72,56.18,1.44,MOMENTUM|RSI_STACK
CORDSCABLE,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.58,59.33,3.15,MOMENTUM|RSI_STACK
CLSEL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.78,55.24,3.57,MOMENTUM|RSI_STACK
GNFC,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.58,58.02,1.16,MOMENTUM|RSI_STACK
GARFIBRES,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,3.26,64.66,6.53,MOMENTUM|RSI_STACK
GAEL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.21,63.51,-0.41,MOMENTUM|RSI_STACK
FIEMIND,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.11,63.2,-0.21,MOMENTUM|RSI_STACK
ETHOSLTD,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,2.87,60.25,5.73,MOMENTUM|RSI_STACK
AUTOIND,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.16,60.05,2.32,MOMENTUM|RSI_STACK
AUTOAXLES,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,0.88,53.4,1.77,MOMENTUM|RSI_STACK
CHEVIOT,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.52,55.74,1.04,MOMENTUM|RSI_STACK
CENTUM,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,3.43,62.03,-6.85,MOMENTUM|RSI_STACK
CENTEXT,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,5.59,60.3,11.19,MOMENTUM|RSI_STACK
CARYSIL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,3.43,61.02,-6.87,MOMENTUM|RSI_STACK
EDELWEISS,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.08,54.04,-0.16,MOMENTUM|RSI_STACK
DYNAMATECH,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.82,59.32,3.64,MOMENTUM|RSI_STACK
DCBBANK,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.21,58.36,-4.42,MOMENTUM|RSI_STACK
CERA,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.74,57.22,-1.47,MOMENTUM|RSI_STACK
BOSCH-HCIL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,7.83,68.06,15.66,MOMENTUM|RSI_STACK
JUBLINGREA,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.89,58.32,1.78,MOMENTUM|RSI_STACK
JKPAPER,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,0.24,55.97,0.48,MOMENTUM|RSI_STACK
INDIAGLYCO,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,0.82,60.17,-1.65,MOMENTUM|RSI_STACK
INDGN,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,2.46,58.76,4.92,MOMENTUM|RSI_STACK
IMFA,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.96,59.21,1.92,MOMENTUM|RSI_STACK
ICIL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.65,62.79,-3.3,MOMENTUM|RSI_STACK
ANDHRSUGAR,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,0.13,54.01,0.27,MOMENTUM|RSI_STACK
AMBIKCO,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.49,65.1,-2.99,MOMENTUM|RSI_STACK
ALPHA,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.61,61.9,1.22,MOMENTUM|RSI_STACK
AKSHARCHEM,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,6.64,67.03,13.27,MOMENTUM|RSI_STACK
BEPL,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,1.65,62.86,-3.29,MOMENTUM|RSI_STACK
BAJEL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.34,55.74,4.68,MOMENTUM|RSI_STACK
AYMSYNTEX,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,0.17,58.53,-0.33,MOMENTUM|RSI_STACK
AVADHSUGAR,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,0.44,66.88,-0.87,MOMENTUM|RSI_STACK
HCG,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.3,58.82,-0.61,MOMENTUM|RSI_STACK
GREENLAM,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.55,60.62,3.11,MOMENTUM|RSI_STACK
MIDHANI,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.27,58.3,0.55,MOMENTUM|RSI_STACK
KTKBANK,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.14,68.38,-4.28,MOMENTUM|RSI_STACK
KRBL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.43,54.44,2.86,MOMENTUM|RSI_STACK
KINGFA,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.61,59.38,-1.23,MOMENTUM|RSI_STACK
A2ZINFRA,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,5.22,58.57,10.43,MOMENTUM|RSI_STACK
63MOONS,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,3.3,61.44,6.59,MOMENTUM|RSI_STACK
3IINFOLTD,L2_MOMENTUM_RSI,40,SUSTAINED,DIVERGENT_BULLISH,7.04,76.72,14.08,MOMENTUM|RSI_STACK
YATHARTH,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.57,58.96,-1.14,MOMENTUM|RSI_STACK
VOLTAMP,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.22,54.9,-0.43,MOMENTUM|RSI_STACK
VARROC,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.25,69.6,2.49,MOMENTUM|RSI_STACK
UJJIVANSFB,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.24,65.66,0.48,MOMENTUM|RSI_STACK
ATALREAL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.91,69.41,1.83,MOMENTUM|RSI_STACK
ARTEMISMED,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.21,64.54,0.42,MOMENTUM|RSI_STACK
ARROWGREEN,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,2.29,66.45,4.58,MOMENTUM|RSI_STACK
ARMANFIN,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.25,63.03,0.5,MOMENTUM|RSI_STACK
APOLLOPIPE,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,2.48,61.64,-4.96,MOMENTUM|RSI_STACK
VMART,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.94,60.86,3.89,MOMENTUM|RSI_STACK
UNIDT,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,0.85,59.71,1.7,MOMENTUM|RSI_STACK
UEL,L2_MOMENTUM_RSI,40,SUSTAINED,DIVERGENT_BULLISH,8.22,79.16,16.43,MOMENTUM|RSI_STACK
360ONE,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.89,57.98,3.79,MOMENTUM|RSI_STACK
UNIONBANK,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.69,59.51,3.38,MOMENTUM|RSI_STACK
TVSMOTOR,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.46,69.15,4.93,MOMENTUM|RSI_STACK
TRENT,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,2.56,56.17,5.11,MOMENTUM|RSI_STACK
TITAN,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.02,68.95,4.04,MOMENTUM|RSI_STACK
SIEMENS,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,2.95,61.18,5.9,MOMENTUM|RSI_STACK
SHRIRAMFIN,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.82,64.75,1.65,MOMENTUM|RSI_STACK
TVSELECT,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.06,55.25,0.11,MOMENTUM|RSI_STACK
TNPETRO,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.82,56.57,3.65,MOMENTUM|RSI_STACK
TITAGARH,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.22,53.47,0.44,MOMENTUM|RSI_STACK
TIIL,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,0.94,56.12,1.88,MOMENTUM|RSI_STACK
TI,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,2.88,60.75,5.75,MOMENTUM|RSI_STACK
THYROCARE,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,2.45,64.19,-4.9,MOMENTUM|RSI_STACK
SOUTHBANK,L2_MOMENTUM_RSI,40,WEAK,NEUTRAL,2.96,59.28,-5.92,MOMENTUM|RSI_STACK
HAL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,5.4,64.98,10.81,MOMENTUM|RSI_STACK
GRASIM,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.84,59.5,-5.67,MOMENTUM|RSI_STACK
ETERNAL,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,2.88,63.45,5.76,MOMENTUM|RSI_STACK
VISAKAIND,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,0.32,62.28,-0.63,MOMENTUM|RSI_STACK
ICICIBANK,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.34,61.37,2.69,MOMENTUM|RSI_STACK
HYUNDAI,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,5.67,62.83,11.35,MOMENTUM|RSI_STACK
HINDZINC,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,3.76,58.14,7.52,MOMENTUM|RSI_STACK
YASHO,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,6.0,80.32,-12.0,MOMENTUM|RSI_STACK
WSTCSTPAPR,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,1.32,64.85,2.64,MOMENTUM|RSI_STACK
WORTHPERI,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,3.05,59.81,6.1,MOMENTUM|RSI_STACK
BAJFINANCE,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,2.08,66.03,4.16,MOMENTUM|RSI_STACK
BAJAJFINSV,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,4.87,64.16,9.74,MOMENTUM|RSI_STACK
ABB,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,0.17,62.71,0.33,MOMENTUM|RSI_STACK
AARVI,L2_MOMENTUM_RSI,40,DECELERATING,NEUTRAL,2.9,59.16,-5.8,MOMENTUM|RSI_STACK
AARTISURF,L2_MOMENTUM_RSI,40,SUSTAINED,NEUTRAL,6.7,71.35,13.41,MOMENTUM|RSI_STACK
AUTOIETF,L1_MOMENTUM,35,SUSTAINED,DEVELOPING_CONVERGENT,4.19,65.1,8.39,MOMENTUM
HONASA,L1_MOMENTUM,35,BOUNCE,DEVELOPING_CONVERGENT,4.35,66.87,-8.71,MOMENTUM
KERNEX,L1_MOMENTUM,35,SUSTAINED,DEVELOPING_CONVERGENT,3.71,65.51,-7.42,MOMENTUM
ANANDRATHI,L1_MOMENTUM,35,ACCELERATING,DEVELOPING_CONVERGENT,4.74,65.0,-9.48,MOMENTUM
AEGISLOG,L1_MOMENTUM,35,SUSTAINED,DEVELOPING_CONVERGENT,4.87,68.04,-9.74,MOMENTUM
WONDERLA,L1_MOMENTUM,20,WEAK,NEUTRAL,4.18,47.42,8.36,MOMENTUM
WCIL,L1_MOMENTUM,20,WEAK,NEUTRAL,0.44,40.96,-0.87,MOMENTUM
BAJAJHLDNG,L1_MOMENTUM,20,DECELERATING,NEUTRAL,3.92,58.0,7.85,MOMENTUM
BANKBARODA,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,1.45,46.44,2.91,MOMENTUM
BEL,L1_MOMENTUM,20,BOUNCE,NEUTRAL,0.88,46.63,-1.76,MOMENTUM
VCL,L1_MOMENTUM,20,WEAK,NEUTRAL,3.71,50.89,7.43,MOMENTUM
VSTTILLERS,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,3.04,46.72,6.07,MOMENTUM
CANBK,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,2.67,52.61,5.35,MOMENTUM
ZOTA,L1_MOMENTUM,20,WEAK,NEUTRAL,2.47,45.95,-4.94,MOMENTUM
VPRPL,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,8.92,42.25,17.85,MOMENTUM
ADANIPORTS,L1_MOMENTUM,20,WEAK,NEUTRAL,7.09,47.66,-14.18,MOMENTUM
HINDALCO,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,0.26,58.15,-0.52,MOMENTUM
ENRIN,L1_MOMENTUM,20,WEAK,NEUTRAL,3.18,48.53,-6.37,MOMENTUM
DMART,L1_MOMENTUM,20,WEAK,NEUTRAL,1.42,45.05,-2.84,MOMENTUM
CGPOWER,L1_MOMENTUM,20,WEAK,NEUTRAL,4.61,52.96,-9.23,MOMENTUM
BHEL,L1_MOMENTUM,20,DECELERATING,NEUTRAL,5.32,57.89,-10.63,MOMENTUM
VINYLINDIA,L1_MOMENTUM,20,WEAK,NEUTRAL,0.78,47.71,-1.56,MOMENTUM
VINCOFE,L1_MOMENTUM,20,WEAK,NEUTRAL,2.63,49.66,-5.26,MOMENTUM
VIKASECO,L1_MOMENTUM,20,WEAK,NEUTRAL,2.49,35.37,4.97,MOMENTUM
POLYCAB,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,3.28,55.67,-6.56,MOMENTUM
WEL,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,9.97,60.08,19.95,MOMENTUM
RELIGARE,L1_MOMENTUM,20,BOUNCE,NEUTRAL,1.55,52.99,-3.11,MOMENTUM
RELAXO,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,1.94,58.2,3.88,MOMENTUM
REDTAPE,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,1.63,54.52,3.25,MOMENTUM
RCF,L1_MOMENTUM,20,BOUNCE,NEUTRAL,1.09,48.35,2.19,MOMENTUM
RATEGAIN,L1_MOMENTUM,20,WEAK,NEUTRAL,5.74,64.01,-11.48,MOMENTUM
QPOWER,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,2.45,53.35,-4.89,MOMENTUM
PRSMJOHNSN,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,4.36,45.47,8.72,MOMENTUM
PRAJIND,L1_MOMENTUM,20,BOUNCE,NEUTRAL,0.86,42.18,-1.72,MOMENTUM
PCJEWELLER,L1_MOMENTUM,20,WEAK,NEUTRAL,2.13,50.77,4.26,MOMENTUM
SONATSOFTW,L1_MOMENTUM,20,DECELERATING,NEUTRAL,3.09,56.94,6.18,MOMENTUM
SKFINDIA,L1_MOMENTUM,20,BOUNCE,NEUTRAL,6.77,38.72,13.55,MOMENTUM
SBFC,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,4.19,54.11,8.39,MOMENTUM
SAREGAMA,L1_MOMENTUM,20,DECELERATING,NEUTRAL,4.25,62.75,-8.49,MOMENTUM
SAPPHIRE,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,5.85,53.85,11.7,MOMENTUM
RPOWER,L1_MOMENTUM,20,BOUNCE,NEUTRAL,2.81,43.0,5.61,MOMENTUM
RITES,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,3.03,55.78,6.07,MOMENTUM
AARON,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,6.05,51.25,12.11,MOMENTUM
AAREYDRUGS,L1_MOMENTUM,20,WEAK,NEUTRAL,0.68,52.21,-1.35,MOMENTUM
AAATECH,L1_MOMENTUM,20,BOUNCE,NEUTRAL,0.65,49.63,1.3,MOMENTUM
5PAISA,L1_MOMENTUM,20,BOUNCE,NEUTRAL,0.02,54.16,-0.04,MOMENTUM
21STCENMGM,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,13.85,68.14,27.7,MOMENTUM
WHIRLPOOL,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,6.7,49.69,13.41,MOMENTUM
WESTLIFE,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,4.36,61.31,8.71,MOMENTUM
WABAG,L1_MOMENTUM,20,BOUNCE,NEUTRAL,5.11,58.03,-10.23,MOMENTUM
VIYASH,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,2.8,58.23,-5.61,MOMENTUM
TRIVENI,L1_MOMENTUM,20,WEAK,NEUTRAL,3.51,31.33,-7.01,MOMENTUM
TEJASNET,L1_MOMENTUM,20,WEAK,NEUTRAL,1.17,48.74,-2.35,MOMENTUM
TANLA,L1_MOMENTUM,20,DECELERATING,NEUTRAL,0.38,58.71,0.76,MOMENTUM
SWANCORP,L1_MOMENTUM,20,WEAK,NEUTRAL,3.71,42.96,7.42,MOMENTUM
SUVEN,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,4.73,59.08,-9.45,MOMENTUM
SUPRIYA,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,2.94,55.94,-5.89,MOMENTUM
SPARC,L1_MOMENTUM,20,ACCELERATING,NEUTRAL,5.06,53.33,-10.13,MOMENTUM
ADVENZYMES,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,0.55,50.64,-1.11,MOMENTUM
ADSL,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,1.73,45.52,3.47,MOMENTUM
ADROITINFO,L1_MOMENTUM,20,DECELERATING,NEUTRAL,4.59,53.7,9.18,MOMENTUM
ADL,L1_MOMENTUM,20,WEAK,NEUTRAL,0.83,47.59,1.65,MOMENTUM
ABAN,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,8.92,52.47,17.84,MOMENTUM
NCC,L1_MOMENTUM,20,BOUNCE,NEUTRAL,2.95,45.28,5.9,MOMENTUM
MMTC,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,0.42,49.27,-0.84,MOMENTUM
MAXESTATES,L1_MOMENTUM,20,BOUNCE,NEUTRAL,0.32,48.45,0.63,MOMENTUM
MARKSANS,L1_MOMENTUM,20,WEAK,NEUTRAL,3.48,60.28,-6.96,MOMENTUM
MANYAVAR,L1_MOMENTUM,20,SUSTAINED,NEUTRAL,11.03,62.37,22.06,MOMENTUM
